kind,name,visibility,created,updated,lang,claim,evidence,status,path,notes
public_repo,niodoo-research-portfolio,public,2026-08-20,2026-08-20,Shell/MD,Working research house + living index,"this git: RESEARCH_MAP.md, silos/live, silos/trail",indexed,https://github.com/Ruffian-L/niodoo-research-portfolio,
public_repo,niodoo-adaptive-agency,public,2026-08-10,2026-08-17,Rust,"Frozen 8B writes a rule, dies, two fresh processes transfer exactly; Double Seal",Zenodo 10.5281/zenodo.21965763; ./run verify --check; evidence/durability/20260815 hashed 2/6 PASS at 56 memories,indexed,https://github.com/Ruffian-L/niodoo-adaptive-agency,HF dataset ruffian-l/niodoo-adaptive-agency
public_repo,niodoo-hidden-state-steering,public,2026-06-24,2026-08-03,Rust,Last-token hidden-state correction on a frozen LLM from pinned hashes,repo README; WHITEPAPER_Hidden_State_Last_Step.md,indexed,https://github.com/Ruffian-L/niodoo-hidden-state-steering,
public_repo,Niodoo-Physics-LLM,public,2025-12-16,2026-08-04,Rust,Inference-time force engine on activations; no weight update,repo README; active line continues in niodoo-hidden-state-steering,indexed,https://github.com/Ruffian-L/Niodoo-Physics-LLM,
public_repo,hydrodynamic-swarm,public,2026-02-28,2026-08-22,Rust,Residual-stream vector-field steering + splat memory across process death,docs/CONTINUITY.md; ./splat-lens museum,indexed,https://github.com/Ruffian-L/hydrodynamic-swarm,local sibling hydrodynamic-swarm-3surface
public_repo,SplatRagBench,public,2025-11-24,2026-07-26,Rust,Hybrid retrieval (lexical + dense + geometry) on SciFact,in-repo: hybrid nDCG@10 0.7822 vs dense-only 0.6291 (project eval),indexed,https://github.com/Ruffian-L/SplatRagBench,
public_repo,cathedral-beir,public,2025-11-28,2026-07-26,Python,"Pure 768D cosine, no BM25/rerank as default path",in-repo dataset table; GitHub description still says beats SOTA 0.5881 vs 0.52 — README now disclaims that as publishable,indexed,https://github.com/Ruffian-L/cathedral-beir,description vs README disagree
public_repo,physics-of-friendship-mountaincar-rl,public,2026-02-27,2026-07-28,Python,Q-SMA + dream replay on MountainCar,results/ + make reproduce; physics-only 2000/2000 is scripted not learning,indexed,https://github.com/Ruffian-L/physics-of-friendship-mountaincar-rl,
public_repo,YinYangQSMA,public,2026-02-18,2026-07-25,Rust,Q-learning slime-mold on MountainCar MDP,public repo; README stub,indexed,https://github.com/Ruffian-L/YinYangQSMA,
public_repo,physicslang,public,2026-07-17,2026-07-17,Rust,Tokens as particles; grammar as force laws; inversion to antipode,day-1 scaffold; cargo test; docs/,indexed,https://github.com/Ruffian-L/physicslang,
public_repo,niodoo-rocket-core,public,2026-06-01,2026-07-25,Rust,Hard problem -> correct -> context death -> fresh process still better,README north-star loop; later sealed in niodoo-adaptive-agency,indexed,https://github.com/Ruffian-L/niodoo-rocket-core,
public_repo,niodoo-autonomous-self-correction-and-dynamic-control-loops-in-ai,public,2026-04-07,2026-07-25,Rust,Verbal control loops + activation steering on local GGUF,public README,indexed,https://github.com/Ruffian-L/niodoo-autonomous-self-correction-and-dynamic-control-loops-in-ai,
public_repo,jlens-gguf,public,2026-08-03,2026-08-04,Rust,First-answer-token residual geometry predicts continuation from inside GGUF,Gemma3-4B AUC 0.875; Gemma3-27B 0.893 pass 0.80; Gemma4-12B 0.696 miss; Llama8B 0.738 underpowered,indexed,https://github.com/Ruffian-L/jlens-gguf,
public_repo,ontological-inversion,public,2026-06-24,2026-08-05,Python,Sorrowful memory flipped toward structured joyful antipode,repo README Anti-Splat,indexed,https://github.com/Ruffian-L/ontological-inversion,
public_repo,cargo-bless,public,2026-02-28,2026-08-22,Rust,Cargo subcommand: lockfile vs blessed.rs,crates.io/crates/cargo-bless; docs.rs,indexed,https://github.com/Ruffian-L/cargo-bless,tool not consciousness
public_repo,niodoo-tcs,public,2025-10-18,2026-07-30,C++,Topological cognitive system (knot/TQFT/Betti),public repo; trail: not wired into decode,indexed,https://github.com/Ruffian-L/niodoo-tcs,silos/trail/tcs-unwired.md
public_repo,Niodoo-TCT,public,2025-11-02,2026-07-17,Python,INT8 nToken / persistent-homology scaffold,scripts/demo_encode.py,indexed,https://github.com/Ruffian-L/Niodoo-TCT,early
private_repo,splatrag,private,2026-07-30,2026-08-05,Rust,"v3 Gaussian-splat memory store (cold log, BM25+HNSW, picker)",splatrag-clean 6.0G Cargo.toml 3.0.0; Hub/Projects/splatrag/splatrag 90M python rebuild,expanded_private,https://github.com/Ruffian-L/splatrag,local live tree is splatrag-clean
private_repo,niodoo-live-private,private,2026-07-23,2026-07-23,Rust,Private working mirror of live runtime,local 74M last commit 233429c 2026-07-15 SCOREBOARD.md WHITEPAPER.md,expanded_private,/home/ruffianl/Hub/Projects/niodoo/niodoo-live-private,
private_repo,niodoo-runtime,private,2026-06-13,2026-06-13,Rust,"Clean rebuild lane: mock backend, command-gated claims",GitHub README cargo test; cargo run --backend mock,expanded_private,https://github.com/Ruffian-L/niodoo-runtime,
private_repo,latent-trajectory-codec,private,2026-03-28,2026-07-26,Python,64D latent transport + VQ codebook,CLAIMS.md M5 8/8; M7.5 VQ256 0 dead 320x exact RT; M8 max energy <0.192; local ghost 32M,expanded_private,/media/ruffianl/ghost_team/02_projects/projects/latent-trajectory-codec,
private_repo,c-council,private,2026-07-04,2026-07-05,Rust,"Roundtable isolated AI voices, no shared MCP/keys",crate roundtable; ISOLATION.md argv spawn empty cwd,expanded_private,https://github.com/Ruffian-L/c-council,
private_repo,Lumina-Concourse,private,2026-03-06,2026-03-06,Rust,EmbedSwarm 9-node thermodynamic / Three Gemmas scaffold,GitHub README 79KB,expanded_private,https://github.com/Ruffian-L/Lumina-Concourse,
private_repo,niodoo-inference-steering,private,2026-02-17,2026-02-20,Rust,Early steering WIP,"Algo_WIP.txt, benchmarks/, demo.sh; README stub",expanded_private,https://github.com/Ruffian-L/niodoo-inference-steering,
private_repo,supersonic-semantic,private,2026-02-20,2026-02-20,,Empty husk,GitHub size 0,empty_husk,https://github.com/Ruffian-L/supersonic-semantic,
private_repo,niodoo-shimeji,private,2025-11-15,2026-02-16,Python,Gemini Shimeji desktop companion,GitHub description 630KB,expanded_private,https://github.com/Ruffian-L/niodoo-shimeji,
private_repo,niodoo-ai,private,2025-11-03,2026-02-16,,Empty husk,GitHub size 0; README.md only,empty_husk,https://github.com/Ruffian-L/niodoo-ai,
private_repo,bullshitdetector,private,2025-11-17,2026-02-16,Rust,Magic-number / smell detector,local 264K Cargo.toml 1.0.0,expanded_private,https://github.com/Ruffian-L/bullshitdetector,
private_repo,BS-MCP-REFACTOR,private,2025-10-13,2026-02-16,HTML,MCP refactor dump,GitHub 38MB HTML,expanded_private,https://github.com/Ruffian-L/BS-MCP-REFACTOR,
private_repo,Leo,private,2025-10-10,2026-02-16,,"Screenshot dump, not a research crate",GitHub 16MB mostly PNGs; not expanded,listed_screenshots,https://github.com/Ruffian-L/Leo,
private_repo,ParaNIODo.O,private,2025-08-05,2025-09-09,Python,2025 companion/sprite stack,local ParaNIODo.O-main 3.8G,expanded_private,/media/ruffianl/ghost_team/02_projects/legacy-niodoo/niodoo/ParaNIODo.O-main,
local_tree,niodoo-live,local,,,,Live physics runtime; PARB 25 vs 24; 3 God-Zone LOCK.json packs,/home/ruffianl/Hub/Projects/niodoo/niodoo-live,indexed_path,/home/ruffianl/Hub/Projects/niodoo/niodoo-live,
local_tree,dual-stream-soul,local,,,,Dual-stream / free-land LOCK packs 2026-08-08,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul,indexed_path,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul,
local_tree,hydrodynamic-swarm-3surface,local,,,,Current hydro 3-surface seat,/home/ruffianl/Hub/Projects/hydro/hydrodynamic-swarm-3surface,indexed_path,/home/ruffianl/Hub/Projects/hydro/hydrodynamic-swarm-3surface,
local_tree,splatrag-clean,local,,,,Basin Field face; sp start,/media/ruffianl/ghost_team/02_projects/projects/splatrag-clean,indexed_path,/media/ruffianl/ghost_team/02_projects/projects/splatrag-clean,
paper,ULTIMA_NIODOO.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; ULTIMA_NIODOO.md,live,ULTIMA_NIODOO.md,
paper,gathered_20260818/PAPER_Knowing_Where_You_Are.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; gathered_20260818/PAPER_Knowing_Where_You_Are.md,live,gathered_20260818/PAPER_Knowing_Where_You_Are.md,
paper,gathered_20260818/PAPER_Adaptive_Agency_Frozen_8B_sol_glimmer.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; gathered_20260818/PAPER_Adaptive_Agency_Frozen_8B_sol_glimmer.md,live,gathered_20260818/PAPER_Adaptive_Agency_Frozen_8B_sol_glimmer.md,
paper,gathered_20260818/PAPER_Hard_Agency_Pass_20260808.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; gathered_20260818/PAPER_Hard_Agency_Pass_20260808.md,live,gathered_20260818/PAPER_Hard_Agency_Pass_20260808.md,
paper,gathered_20260818/WHITEPAPER_Hidden_State_Last_Step.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; gathered_20260818/WHITEPAPER_Hidden_State_Last_Step.md,live,gathered_20260818/WHITEPAPER_Hidden_State_Last_Step.md,
paper,Token_Physics_Dynamical_Control.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Token_Physics_Dynamical_Control.md,live,Token_Physics_Dynamical_Control.md,
paper,Hidden_State_Hydrodynamic_Swarm.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Hidden_State_Hydrodynamic_Swarm.md,live,Hidden_State_Hydrodynamic_Swarm.md,
paper,Scar_Memory_Addon.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Scar_Memory_Addon.md,live,Scar_Memory_Addon.md,
paper,PhysicsLang_Control_Law_Composition.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; PhysicsLang_Control_Law_Composition.md,live,PhysicsLang_Control_Law_Composition.md,
paper,Logit_Governor_Viscosity.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Logit_Governor_Viscosity.md,live,Logit_Governor_Viscosity.md,
paper,Physics_of_Friendship_MountainCar.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Physics_of_Friendship_MountainCar.md,live,Physics_of_Friendship_MountainCar.md,
paper,SplatRagBench_Hybrid_Retrieval.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; SplatRagBench_Hybrid_Retrieval.md,live,SplatRagBench_Hybrid_Retrieval.md,
paper,Dilution_Recovery_God_Zone.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Dilution_Recovery_God_Zone.md,live,Dilution_Recovery_God_Zone.md,
paper,Dual_Stream_Midstream_Ablation.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Dual_Stream_Midstream_Ablation.md,live,Dual_Stream_Midstream_Ablation.md,
paper,Inner_Monitor_TCS_Unwired.md,public_git,,2026-08-17,md,see RESEARCH_MAP.md,RESEARCH_MAP.md live row; Inner_Monitor_TCS_Unwired.md,live,Inner_Monitor_TCS_Unwired.md,
paper,Echo_Memoria_Named_Persistent_Memory.md,public_git,,2026-08-17,md,"dated local name, not a brand",NAMES.md,dated-artifact,Echo_Memoria_Named_Persistent_Memory.md,
paper,Lumina_Self_Naming_Runtime.md,public_git,,2026-08-17,md,"dated local name, not a brand",NAMES.md,dated-artifact,Lumina_Self_Naming_Runtime.md,
paper,Shep_Named_Local_Research_Team.md,public_git,,2026-08-17,md,"dated local name, not a brand",NAMES.md,dated-artifact,Shep_Named_Local_Research_Team.md,
paper,Dream_Cycle_Ten_Thousand_Memories.md,public_git,,2026-08-17,md,"dated local name, not a brand",NAMES.md,dated-artifact,Dream_Cycle_Ten_Thousand_Memories.md,
paper,gathered_20260818/ARCHIVE_Self_Emergence.md,public_git,2026-07-17,2026-07-17,md,archive,gathered_20260818/ARCHIVE_Self_Emergence.md,archive,gathered_20260818/ARCHIVE_Self_Emergence.md,
